juniors,inactives,floor,fed,K,raw_pval,pval,adj_pval
FALSE,TRUE,1600,GER,10,5.061819301244164e-5,1.0123638602488327e-4,6.974062148380848e-4
FALSE,TRUE,1600,GRE,1,0.32578736157651567,0.6515747231530313,0.7087304006225955
FALSE,TRUE,1600,GRE,10,2.6031759066480475e-4,5.206351813296095e-4,0.002689948436869649
FALSE,TRUE,1600,HUN,1,0.8786912909868919,0.24261741802621617,0.3581495218482239
FALSE,TRUE,1600,HUN,10,0.5768131226094152,0.8463737547811696,0.8745862132738753
FALSE,TRUE,1600,INA,1,0.4352111927141371,0.8704223854282742,0.8846916048615246
FALSE,TRUE,1600,INA,10,0.08897683707668502,0.17795367415337005,0.23353313619665522
FALSE,TRUE,1600,IND,1,0.3588245248790346,0.7176490497580692,0.7671420876724188
FALSE,TRUE,1600,IND,10,0.5356099710473294,0.9287800579053411,0.9287800579053411
FALSE,TRUE,1600,IRI,1,0.7751144852874023,0.4497710294251953,0.5261472419690963
FALSE,TRUE,1600,IRI,10,0.3782620930872064,0.7565241861744127,0.8040994712834574
FALSE,TRUE,1600,ISR,1,0.010061162395613388,0.020122324791226776,0.049903365482242404
FALSE,TRUE,1600,ISR,10,0.23268491565709382,0.46536983131418763,0.5343135100274006
FALSE,TRUE,1600,ITA,1,0.3910365514075548,0.7820731028151096,0.8218395317718101
FALSE,TRUE,1600,ITA,10,0.014173824909111676,0.028347649818223353,0.050215836820852795
FALSE,TRUE,1600,KAZ,1,0.41407179093029667,0.8281435818605933,0.8557483679226132
FALSE,TRUE,1600,KAZ,10,5.913908736534523e-4,0.0011827817473069047,0.004888831222201873
FALSE,TRUE,1600,LAT,1,5.368554067202158e-4,0.0010737108134404316,0.00554750586944223
FALSE,TRUE,1600,LAT,10,0.0013515211197334676,0.002703042239466935,0.008379430942347499
FALSE,TRUE,1600,LTU,1,1,0,0
FALSE,TRUE,1600,LTU,10,0.004487715195192643,0.008975430390385286,0.019188851179444404
FALSE,TRUE,1600,MAS,1,0.2646504785525463,0.5293009571050926,0.5966665334639225
FALSE,TRUE,1600,MAS,10,0.3815811671295243,0.7631623342590486,0.8040994712834574
FALSE,TRUE,1600,MDA,1,6.060119439837974e-4,0.0012120238879675949,0.00578042161953776
FALSE,TRUE,1600,MDA,10,0.09039992368902783,0.18079984737805566,0.23353313619665522
FALSE,TRUE,1600,MEX,1,2.456377078008387e-5,4.912754156016774e-5,0.0010153025255768
FALSE,TRUE,1600,MEX,10,8.535473439152952e-10,1.7070946878305904e-9,5.29199353227483e-8
FALSE,TRUE,1600,MGL,1,0.17026587351458555,0.3405317470291711,0.4517208696501459
FALSE,TRUE,1600,MGL,10,0.022877516005976428,0.045755032011952856,0.0683329163467269
FALSE,TRUE,1600,NED,1,0.018120278395811096,0.03624055679162219,0.077479811071744
FALSE,TRUE,1600,NED,10,0.04391088273503618,0.08782176547007237,0.11836846650314102
FALSE,TRUE,1600,NOR,1,0.004519844250702398,0.009039688501404797,0.031136704838172078
FALSE,TRUE,1600,NOR,10,0.24252250962666044,0.4850450192533209,0.5467780217037436
FALSE,TRUE,1600,PER,1,0.21659848901211076,0.4331969780242215,0.5165040891827256
FALSE,TRUE,1600,PER,10,0.017631965719553055,0.03526393143910611,0.05868127698278186
FALSE,TRUE,1600,PHI,1,3.8989127697697246e-4,7.797825539539449e-4,0.004834651834514459
FALSE,TRUE,1600,PHI,10,0.002618731496636162,0.005237462993272324,0.01353011273262017
FALSE,TRUE,1600,POL,1,2.3076075168548815e-4,4.615215033709763e-4,0.0035767916511250664
FALSE,TRUE,1600,POL,10,3.97721183587052e-6,7.95442367174104e-6,6.164678345599306e-5
FALSE,TRUE,1600,POR,1,0.004119582337430816,0.008239164674861632,0.030048718225965953
FALSE,TRUE,1600,POR,10,0.44069530100959786,0.8813906020191957,0.8958396282818055
FALSE,TRUE,1600,ROU,1,0.07456054737921114,0.14912109475842228,0.24330283881637318
FALSE,TRUE,1600,ROU,10,0.023278703740623352,0.046557407481246704,0.0683329163467269
FALSE,TRUE,1600,RSA,1,0.06265728187061381,0.12531456374122762,0.21581952644322536
FALSE,TRUE,1600,RSA,10,0.3825957161751934,0.7651914323503868,0.8040994712834574
FALSE,TRUE,1600,RUS,1,2.6259404518191864e-4,5.251880903638373e-4,0.0036179624002842126
FALSE,TRUE,1600,RUS,10,1.631219977538123e-6,3.262439955076246e-6,3.371187953578788e-5
FALSE,TRUE,1600,SLO,1,0.012329629811218656,0.024659259622437313,0.058075633193571306
FALSE,TRUE,1600,SLO,10,0.004367190334885196,0.008734380669770392,0.019188851179444404
FALSE,TRUE,1600,SRB,1,0.005689340639851492,0.011378681279702985,0.033594201873408815
FALSE,TRUE,1600,SRB,10,0.00114699594674339,0.00229399189348678,0.00790152763312113
FALSE,TRUE,1600,SRI,1,0.06038890249533069,0.12077780499066137,0.21394925455488586
FALSE,TRUE,1600,SRI,10,0.038981065638116985,0.07796213127623397,0.10741449198058903
FALSE,TRUE,1600,SUI,1,0.15474828132361562,0.30949656264723124,0.4361087928210986
FALSE,TRUE,1600,SUI,10,0.8054932190387327,0.38901356192253456,0.46382386229225275
FALSE,TRUE,1600,SVK,1,0.21407205225032244,0.4281441045006449,0.5165040891827256
FALSE,TRUE,1600,SVK,10,0.8288914433219957,0.3422171133560086,0.4160286476092653
FALSE,TRUE,1600,SWE,1,0.6947726381104655,0.610454723779069,0.6758605870411121
FALSE,TRUE,1600,SWE,10,0.11053646782449378,0.22107293564898756,0.27972493898443324
FALSE,TRUE,1600,TKM,1,4.902215162161383e-5,9.804430324322766e-5,0.0015196867002700287
FALSE,TRUE,1600,TKM,10,0.0024559300946551677,0.004911860189310335,0.013240666597271338
FALSE,TRUE,1600,TUR,1,0.5227486300493478,0.9545027399013044,0.9545027399013044
FALSE,TRUE,1600,TUR,10,0.00310309875659065,0.0062061975131813,0.015391369832689622
FALSE,TRUE,1600,UKR,1,0.012645500776019558,0.025291001552039116,0.058075633193571306
FALSE,TRUE,1600,UKR,10,3.6990590690511027e-7,7.398118138102205e-7,9.933573527209915e-6
FALSE,TRUE,1600,USA,1,0.008091247065559082,0.016182494131118164,0.041804776505388594
FALSE,TRUE,1600,USA,10,0.017982971978594442,0.035965943957188884,0.05868127698278186
FALSE,TRUE,1600,UZB,1,0.08751607747890433,0.17503215495780866,0.27129984018460346
FALSE,TRUE,1600,UZB,10,8.239649063546128e-4,0.0016479298127092257,0.0063857280242482495
FALSE,TRUE,1600,VEN,1,5.133032877403521e-4,0.0010266065754807041,0.00554750586944223
FALSE,TRUE,1600,VEN,10,0.0015146029482286938,0.0030292058964573876,0.00894336978954086
FALSE,TRUE,1600,VIE,1,7.869112695046976e-5,1.5738225390093952e-4,0.00195153994837165
FALSE,TRUE,1600,VIE,10,2.1236507470323573e-6,4.247301494064715e-6,3.761895609028748e-5
TRUE,FALSE,1000,ALG,1,0.021006934672598288,0.042013869345196575,0.06914782663063603
TRUE,FALSE,1000,ALG,10,2.680414904465689e-5,5.360829808931378e-5,1.411685183018596e-4
TRUE,FALSE,1000,ANG,1,4.1393893021868244e-4,8.278778604373649e-4,0.003114397665454849
TRUE,FALSE,1000,ANG,10,1.4902412637241014e-11,2.980482527448203e-11,5.8864529917102e-10
TRUE,FALSE,1000,ARG,1,0.05588516948872213,0.11177033897744426,0.14965858947827282
TRUE,FALSE,1000,ARG,10,0.12246748871867918,0.24493497743735837,0.27642661739359015
TRUE,FALSE,1000,ARM,1,0.002321193430116275,0.00464238686023255,0.013583280072532277
TRUE,FALSE,1000,ARM,10,0.04328124549472878,0.08656249098945756,0.10854661568519282
TRUE,FALSE,1000,AUS,1,0.11558836507331771,0.23117673014663542,0.26857296590565
TRUE,FALSE,1000,AUS,10,0.00684608786869878,0.01369217573739756,0.023514823549008856
TRUE,FALSE,1000,AUT,1,0.023176129017221325,0.04635225803444265,0.07323656769441939
TRUE,FALSE,1000,AUT,10,0.0022329876508134783,0.0044659753016269566,0.008204931368105338
TRUE,FALSE,1000,AZE,1,0.01641908631943001,0.03283817263886002,0.06313521413722889
TRUE,FALSE,1000,AZE,10,0.12646323718738828,0.25292647437477656,0.2775165482723243
TRUE,FALSE,1000,BAN,1,0.01841526057678733,0.03683052115357466,0.06612752661664541
TRUE,FALSE,1000,BAN,10,2.459219622819031e-5,4.918439245638062e-5,1.339850691053127e-4
TRUE,FALSE,1000,BEL,1,0.06376520518902895,0.1275304103780579,0.16249842612688023
TRUE,FALSE,1000,BEL,10,2.0427523067523268e-6,4.0855046135046535e-6,1.898558026275692e-5
TRUE,FALSE,1000,BIH,1,0.016782778441541857,0.033565556883083714,0.06313521413722889
TRUE,FALSE,1000,BIH,10,8.758265611419347e-6,1.7516531222838694e-5,5.7658581941844034e-5
TRUE,FALSE,1000,BLR,1,0.011122097789027507,0.022244195578055015,0.04881365140739851
TRUE,FALSE,1000,BLR,10,0.05892619268093946,0.11785238536187892,0.13691674181747698
TRUE,FALSE,1000,BOL,1,0.004296883286456166,0.008593766572912331,0.022630251975335806
TRUE,FALSE,1000,BOL,10,3.5377627349686414e-4,7.075525469937283e-4,0.001644019153308957
TRUE,FALSE,1000,BOT,1,1.0106106420604277e-5,2.0212212841208554e-5,1.5967648144554758e-4
TRUE,FALSE,1000,BOT,10,1.165014695825306e-7,2.330029391650612e-7,1.4159409380030643e-6
TRUE,FALSE,1000,BRA,1,2.2599825661684392e-4,4.5199651323368784e-4,0.0021004543850271376
TRUE,FALSE,1000,BRA,10,1.432187701766452e-14,2.864375403532904e-14,1.131428284395497e-12
TRUE,FALSE,1000,BUL,1,0.15955302943080218,0.31910605886160437,0.3501302590287048
TRUE,FALSE,1000,BUL,10,0.3855164137444105,0.771032827488821,0.7910596541768423
TRUE,FALSE,1000,CAN,1,0.05330327812422275,0.1066065562484455,0.14520548178667578
TRUE,FALSE,1000,CAN,10,9.770480850811447e-4,0.0019540961701622894,0.004288155484522802
TRUE,FALSE,1000,CHI,1,2.5135715349122734e-6,5.027143069824547e-6,5.673490035944846e-5
TRUE,FALSE,1000,CHI,10,4.140281984810201e-6,8.280563969620403e-6,3.109500466084865e-5
TRUE,FALSE,1000,CHN,1,0.07228100426402595,0.1445620085280519,0.17844372927681407
TRUE,FALSE,1000,CHN,10,0.0015230547215575596,0.0030461094431151192,0.006016066150152361
TRUE,FALSE,1000,COL,1,7.053119551592157e-5,1.4106239103184315e-4,8.572252993473545e-4
TRUE,FALSE,1000,COL,10,3.8254539630400153e-4,7.650907926080031e-4,0.0017269192176009212
TRUE,FALSE,1000,CRC,1,0.013153553018862452,0.026307106037724903,0.05616922640487209
TRUE,FALSE,1000,CRC,10,0.020552739888400007,0.041105479776800014,0.0569707526731088
TRUE,FALSE,1000,CRO,1,9.693881678125571e-4,0.0019387763356251142,0.006381805438099334
TRUE,FALSE,1000,CRO,10,0.0010248754904758073,0.0020497509809516146,0.004376495337707501
TRUE,FALSE,1000,CUB,1,7.0857387073353095e-6,1.4171477414670619e-5,1.2439407952877544e-4
TRUE,FALSE,1000,CUB,10,2.0187449489839082e-9,4.0374898979678164e-9,5.316028365657625e-8
TRUE,FALSE,1000,CZE,1,2.5263048192503135e-4,5.052609638500627e-4,0.002217534230230831
TRUE,FALSE,1000,CZE,10,0.0018514848789668026,0.003702969757933605,0.007014300180971853
TRUE,FALSE,1000,DEN,1,0.06191426462180427,0.12382852924360854,0.16036809524991927
TRUE,FALSE,1000,DEN,10,0.5445691113354263,0.9108617773291474,0.9108617773291474
TRUE,FALSE,1000,DOM,1,1.9958675286924077e-6,3.991735057384815e-6,5.25578449222334e-5
TRUE,FALSE,1000,DOM,10,2.4068065496152258e-6,4.8136130992304516e-6,1.9013771741960284e-5
TRUE,FALSE,1000,ECU,1,0.02257069115593946,0.04514138231187892,0.07277896331915172
TRUE,FALSE,1000,ECU,10,0.0105217473203576,0.0210434946407152,0.03463408492951043
TRUE,FALSE,1000,EGY,1,0.020940075799213753,0.041880151598427506,0.06914782663063603
TRUE,FALSE,1000,EGY,10,2.4439126944386658e-8,4.8878253888773315e-8,3.861382057213092e-7
TRUE,FALSE,1000,ENG,1,0.11379492136630454,0.22758984273260907,0.2683522026250167
TRUE,FALSE,1000,ENG,10,7.7096230431839e-5,1.54192460863678e-4,3.8066263775720505e-4
TRUE,FALSE,1000,ESP,1,0.010514548313304894,0.02102909662660979,0.04746567524291924
TRUE,FALSE,1000,ESP,10,5.076944709081488e-8,1.0153889418162976e-7,7.29233876395341e-7
TRUE,FALSE,1000,EST,1,0.02435306764438483,0.04870613528876966,0.07544675858456477
TRUE,FALSE,1000,EST,10,0.03382250226534411,0.06764500453068822,0.0876996721739687
TRUE,FALSE,1000,FRA,1,0.014233228062673242,0.028466456125346484,0.05918026405006243
TRUE,FALSE,1000,FRA,10,2.364646678354454e-6,4.729293356708908e-6,1.9013771741960284e-5
TRUE,FALSE,1000,GEO,1,0.020658043202813503,0.041316086405627006,0.06914782663063603
TRUE,FALSE,1000,GEO,10,0.05825827263514105,0.1165165452702821,0.13691674181747698
TRUE,FALSE,1000,GER,1,0.009961361377467615,0.01992272275493523,0.046291032283525976
TRUE,FALSE,1000,GER,10,6.956304993144258e-7,1.3912609986288516e-6,6.8693511807299545e-6
TRUE,FALSE,1000,GRE,1,0.028968072958861613,0.057936145917723225,0.08475843569444694
TRUE,FALSE,1000,GRE,10,7.473883401054593e-9,1.4947766802109186e-8,1.3120817526295843e-7
TRUE,FALSE,1000,HUN,1,0.01982050408219016,0.03964100816438032,0.06914782663063603
TRUE,FALSE,1000,HUN,10,0.01432943744210935,0.0286588748842187,0.04439315913437799
TRUE,FALSE,1000,INA,1,0.44114234761101745,0.8822846952220349,0.91711172266501
TRUE,FALSE,1000,INA,10,0.0010750900303954092,0.0021501800607908184,0.004470111179012491
TRUE,FALSE,1000,IND,1,0.10240755743955943,0.20481511487911885,0.24515748599167259
TRUE,FALSE,1000,IND,10,0.0185163639672441,0.0370327279344882,0.05319246376044668
TRUE,FALSE,1000,IRI,1,0.47453724795510366,0.9490744959102073,0.9528786344210367
TRUE,FALSE,1000,IRI,10,0.22419879488186556,0.4483975897637311,0.4723121278844634
TRUE,FALSE,1000,IRQ,1,3.532291523136166e-4,7.064583046272332e-4,0.0027905103032775714
TRUE,FALSE,1000,IRQ,10,1.902212750548582e-5,3.804425501097164e-5,1.0733914806666999e-4
