metric,juniors,rating_floor,fed,yP,yPEA,E,A,weights
top10,FALSE,1600,NED,-13.968984000000091,73.13881514921664,361.90000000000003,-0.5,4.0451319731281724e-4
top10,FALSE,1600,POL,100.51928500000008,95.06355711787069,-0.6999999999999886,3.1000000000000014,3.99712999015337e-4
top10,FALSE,1600,ROU,19.131928999999815,43.95789750796557,114.90000000000003,1.5,2.6771143001182824e-4
top10,FALSE,1600,RUS,110.52409399999982,110.68973120274379,-3.6000000000000227,-0.5999999999999979,7.188566283219143e-4
top10,FALSE,1600,SRB,50.335758,90.26914210178754,138.2,-4.099999999999994,6.434364150972258e-4
top10,FALSE,1600,SVK,-99.38596799999993,-35.831171041898365,273.09999999999997,0.8999999999999986,3.636166789835738e-4
top10,FALSE,1600,TUR,22.46455500000002,98.42754175809448,263.6,-7.700000000000003,1.693035954080455e-4
top10,FALSE,1600,UKR,84.84437700000001,92.41565531919177,60.400000000000034,4,4.59852176210286e-4
top10,FALSE,1600,USA,-46.42641800000001,13.993971598803153,230.59999999999997,-3.1999999999999993,1.9653327889120075e-4
top10,FALSE,1600,VIE,152.314729,171.44697661073084,85.99999999999997,0.7999999999999972,2.0413757523032874e-4
top10,TRUE,1000,ALG,240.66466899999978,199.89087797244397,97.80000000000001,6.100000000000001,1.6646244215760296e-4
top10,TRUE,1000,ANG,357.4297120000002,271.66257174230327,59.19999999999999,13.5,2.3874537642064325e-4
top10,TRUE,1000,ARG,97.89113000000026,84.43504540266224,144.7,1.5,2.654995622268591e-4
top10,TRUE,1000,ARM,172.50092000000018,147.42199843797633,203,3.1000000000000014,2.3253667711644707e-4
top10,TRUE,1000,AUS,133.10202399999997,171.86730923123028,279.6,-7.5,1.652602085768137e-4
top10,TRUE,1000,AUT,100.01657999999972,20.210689590455303,68.59999999999997,12.5,5.563384232506652e-4
top10,TRUE,1000,AZE,136.54109000000028,87.58472024545992,78.90000000000003,7.5,2.1187197809105306e-4
top10,TRUE,1000,BAN,161.34576799999985,147.10853005957773,216,1.3000000000000043,2.4196415111618703e-4
top10,TRUE,1000,BEL,203.7857889999999,129.3200706873611,209.4,11,3.5485387005221e-4
top10,TRUE,1000,BIH,250.13467700000018,199.0613790149339,219.1,7.200000000000003,2.9673311592858724e-4
top10,TRUE,1000,BLR,205.1039049999997,147.0360877123596,355.59999999999997,7.700000000000003,1.8009428710313372e-4
top10,TRUE,1000,BOL,231.84965599999992,191.77399043264683,-14.400000000000006,6.5,2.0466353268734712e-4
top10,TRUE,1000,BOT,247.3614170000001,195.63448745394913,44.900000000000006,8.100000000000001,2.7919070110863167e-4
