juniors,inactives,floor,metric,fed,stat,value
FALSE,FALSE,1000,mean,PHI,ptsd,54.912853013479605
FALSE,FALSE,1000,mean,POL,obs,-46.015441442470774
FALSE,FALSE,1000,mean,POL,ptpval,0.975081
FALSE,FALSE,1000,mean,POL,ptmean,-0.018534438158935455
FALSE,FALSE,1000,mean,POL,ptsd,23.524652458205694
FALSE,FALSE,1000,mean,ROU,obs,107.34104168703766
FALSE,FALSE,1000,mean,ROU,ptpval,0.006669
FALSE,FALSE,1000,mean,ROU,ptmean,-0.04959281079495444
FALSE,FALSE,1000,mean,ROU,ptsd,43.18711176889367
FALSE,FALSE,1000,mean,RUS,obs,-109.29260537059395
FALSE,FALSE,1000,mean,RUS,ptpval,1
FALSE,FALSE,1000,mean,RUS,ptmean,0.00255784979874651
FALSE,FALSE,1000,mean,RUS,ptsd,15.872688235685663
FALSE,FALSE,1000,mean,SLO,obs,49.16155303030291
FALSE,FALSE,1000,mean,SLO,ptpval,0.165836
FALSE,FALSE,1000,mean,SLO,ptmean,0.08344360303030249
FALSE,FALSE,1000,mean,SLO,ptsd,50.53232536550472
FALSE,FALSE,1000,mean,SRB,obs,-69.16792929292933
FALSE,FALSE,1000,mean,SRB,ptpval,0.998696
FALSE,FALSE,1000,mean,SRB,ptmean,0.046395770202020396
FALSE,FALSE,1000,mean,SRB,ptsd,22.911442622394258
FALSE,FALSE,1000,mean,SRI,obs,-108.48834389639023
FALSE,FALSE,1000,mean,SRI,ptpval,0.999815
FALSE,FALSE,1000,mean,SRI,ptmean,0.10171299553596008
FALSE,FALSE,1000,mean,SRI,ptsd,31.00322832592409
FALSE,FALSE,1000,mean,SUI,obs,-166.09787581699356
FALSE,FALSE,1000,mean,SUI,ptpval,0.999976
FALSE,FALSE,1000,mean,SUI,ptmean,-0.024218430065359366
FALSE,FALSE,1000,mean,SUI,ptsd,41.19112359628266
FALSE,FALSE,1000,mean,SVK,obs,-49.41543652467317
FALSE,FALSE,1000,mean,SVK,ptpval,0.934602
FALSE,FALSE,1000,mean,SVK,ptmean,-0.012856239422975618
FALSE,FALSE,1000,mean,SVK,ptsd,32.71382370729644
FALSE,FALSE,1000,mean,SWE,obs,-178.5480995816033
FALSE,FALSE,1000,mean,SWE,ptpval,0.999996
FALSE,FALSE,1000,mean,SWE,ptmean,-0.07315110096022852
FALSE,FALSE,1000,mean,SWE,ptsd,39.77202679230322
FALSE,FALSE,1000,mean,TUR,obs,-61.91476769911492
FALSE,FALSE,1000,mean,TUR,ptpval,0.983146
FALSE,FALSE,1000,mean,TUR,ptmean,0.009842142844931621
FALSE,FALSE,1000,mean,TUR,ptsd,29.613185084441664
