juniors,inactives,floor,metric,fed,stat,value
TRUE,FALSE,1400,top1,ALL,ptpval,0.996168
TRUE,FALSE,1400,top1,ALL,ptmean,-103.466569
TRUE,FALSE,1400,top1,ALL,ptsd,53.356491388428175
TRUE,FALSE,1400,top10,ALL,obs,-229.0999999999999
TRUE,FALSE,1400,top10,ALL,ptpval,1
TRUE,FALSE,1400,top10,ALL,ptmean,-109.94563690000003
TRUE,FALSE,1400,top10,ALL,ptsd,22.987895586301534
TRUE,FALSE,1600,mean,ALL,obs,-38.93040392014291
TRUE,FALSE,1600,mean,ALL,ptpval,1
TRUE,FALSE,1600,mean,ALL,ptmean,0.005783385926067132
TRUE,FALSE,1600,mean,ALL,ptsd,3.0093765343714445
TRUE,FALSE,1600,median,ALL,obs,-45.5
TRUE,FALSE,1600,median,ALL,ptpval,1
TRUE,FALSE,1600,median,ALL,ptmean,0.031546500000000005
TRUE,FALSE,1600,median,ALL,ptsd,4.228406194744857
TRUE,FALSE,1600,sd,ALL,obs,-12.374098670562944
TRUE,FALSE,1600,sd,ALL,ptpval,1
TRUE,FALSE,1600,sd,ALL,ptmean,-0.008291840989542307
TRUE,FALSE,1600,sd,ALL,ptsd,2.132261210294882
TRUE,FALSE,1600,top1,ALL,obs,-208
TRUE,FALSE,1600,top1,ALL,ptpval,0.990601
TRUE,FALSE,1600,top1,ALL,ptmean,-110.351825
TRUE,FALSE,1600,top1,ALL,ptsd,53.61746291089968
TRUE,FALSE,1600,top10,ALL,obs,-229.0999999999999
TRUE,FALSE,1600,top10,ALL,ptpval,1
TRUE,FALSE,1600,top10,ALL,ptmean,-118.50310460000003
TRUE,FALSE,1600,top10,ALL,ptsd,23.210387037779547
TRUE,TRUE,1000,mean,ALL,obs,-169.24236446325858
TRUE,TRUE,1000,mean,ALL,ptpval,1
TRUE,TRUE,1000,mean,ALL,ptmean,3.2493139836035196e-4
TRUE,TRUE,1000,mean,ALL,ptsd,1.932284428508746
TRUE,TRUE,1000,median,ALL,obs,-228
TRUE,TRUE,1000,median,ALL,ptpval,1
TRUE,TRUE,1000,median,ALL,ptmean,-0.1195365
TRUE,TRUE,1000,median,ALL,ptsd,2.8837881495355804
TRUE,TRUE,1000,sd,ALL,obs,-6.838091446141334
TRUE,TRUE,1000,sd,ALL,ptpval,1
TRUE,TRUE,1000,sd,ALL,ptmean,-0.0011410091369228827
TRUE,TRUE,1000,sd,ALL,ptsd,1.0422494747415008
TRUE,TRUE,1000,top1,ALL,obs,-197
TRUE,TRUE,1000,top1,ALL,ptpval,0.999098
TRUE,TRUE,1000,top1,ALL,ptmean,-81.492274
TRUE,TRUE,1000,top1,ALL,ptsd,53.63620537613976
TRUE,TRUE,1000,top10,ALL,obs,-208.69999999999982
TRUE,TRUE,1000,top10,ALL,ptpval,1
TRUE,TRUE,1000,top10,ALL,ptmean,-88.68271849999994
TRUE,TRUE,1000,top10,ALL,ptsd,22.51326297911445
TRUE,TRUE,1400,mean,ALL,obs,-72.89049745935813
TRUE,TRUE,1400,mean,ALL,ptpval,1
TRUE,TRUE,1400,mean,ALL,ptmean,-4.403605087824773e-4
TRUE,TRUE,1400,mean,ALL,ptsd,1.8386316179827018
TRUE,TRUE,1400,median,ALL,obs,-90
TRUE,TRUE,1400,median,ALL,ptpval,1
TRUE,TRUE,1400,median,ALL,ptmean,0.03805200000000001
TRUE,TRUE,1400,median,ALL,ptsd,2.9665594289969737
TRUE,TRUE,1400,sd,ALL,obs,-14.283249897160033
TRUE,TRUE,1400,sd,ALL,ptpval,1
TRUE,TRUE,1400,sd,ALL,ptmean,-0.0018439717328744116
TRUE,TRUE,1400,sd,ALL,ptsd,1.0835124375971872
TRUE,TRUE,1400,top1,ALL,obs,-197
TRUE,TRUE,1400,top1,ALL,ptpval,0.995228
TRUE,TRUE,1400,top1,ALL,ptmean,-92.665455
TRUE,TRUE,1400,top1,ALL,ptsd,53.29224120550712
TRUE,TRUE,1400,top10,ALL,obs,-208.69999999999982
TRUE,TRUE,1400,top10,ALL,ptpval,1
TRUE,TRUE,1400,top10,ALL,ptmean,-102.80194629999991
TRUE,TRUE,1400,top10,ALL,ptsd,22.624283546669933
TRUE,TRUE,1600,mean,ALL,obs,-41.07859684900404
TRUE,TRUE,1600,mean,ALL,ptpval,1
TRUE,TRUE,1600,mean,ALL,ptmean,0.002225654958924407
TRUE,TRUE,1600,mean,ALL,ptsd,1.8142661020840278
TRUE,TRUE,1600,median,ALL,obs,-42.5
TRUE,TRUE,1600,median,ALL,ptpval,1
TRUE,TRUE,1600,median,ALL,ptmean,0.080771
TRUE,TRUE,1600,median,ALL,ptsd,2.5692513786337945
TRUE,TRUE,1600,sd,ALL,obs,-18.594957249315684
TRUE,TRUE,1600,sd,ALL,ptpval,1
