metric,juniors,inactives,floor,fed,yP,yPEA,E,A,weight
top1,FALSE,TRUE,1400,DEN,169.21855,162.53505898929404,-168,-17,7.502964348831462e-5
top1,FALSE,TRUE,1400,DOM,230.610868,237.6969813780818,0,19,1.0389840780607548e-4
top1,FALSE,TRUE,1400,ECU,58.539118,62.9951057913368,173,11,1.2874149605540637e-4
top1,FALSE,TRUE,1400,EGY,135.13035200000002,138.9712080929126,237,9,6.315525087581192e-5
top1,FALSE,TRUE,1400,ENG,114.46335300000001,118.02010154477527,463,7,9.346617640810147e-5
top1,FALSE,TRUE,1400,ESP,103.40939900000001,102.76762298143936,416,-4,1.5620224030065276e-4
top1,FALSE,TRUE,1400,EST,154.417327,163.53878720217105,266,23,2.9428167799739545e-4
top1,FALSE,TRUE,1400,FRA,134.776999,134.30686513343994,500,-4,9.112369928529184e-5
top1,FALSE,TRUE,1400,GEO,118.657398,119.39815594711837,180,1,1.9963057941567005e-4
top1,FALSE,TRUE,1400,GER,106.636051,109.894549791482,-48,9,3.27922974197506e-4
top1,FALSE,TRUE,1400,GRE,50.416351000000006,53.42343598658289,194,7,1.2465836293028634e-4
top1,FALSE,TRUE,1400,HUN,-66.929303,-73.16235434233751,600,-20,1.2150178368435718e-4
top1,FALSE,TRUE,1400,INA,44.179494000000005,53.109039768157416,-558,27,1.485969394023447e-4
top1,FALSE,TRUE,1400,IND,33.181129999999996,40.30500519182326,201,18,1.2092632415131515e-4
top1,FALSE,TRUE,1400,IRI,-51.85160400000001,-50.872754408050746,114,2,1.1610733207316818e-4
top1,FALSE,TRUE,1400,ISR,188.745734,198.1707539872338,-133,26,1.3768850206288572e-4
top1,FALSE,TRUE,1400,ITA,44.13232199999999,41.71985446856202,97,-7,1.273521521097388e-4
top1,FALSE,TRUE,1400,KAZ,39.459109999999995,42.00030914543841,-34,7,1.5925818680391848e-4
top1,FALSE,TRUE,1400,KOR,266.783673,267.1321060282599,-12,1,3.641940415827649e-5
top1,FALSE,TRUE,1400,LAT,239.601483,240.53325468228894,456,0,1.0019234883041047e-4
top1,FALSE,TRUE,1400,LTU,-56.845992,-47.789018585462266,782,20,2.3564804320111928e-4
top1,FALSE,TRUE,1400,MAS,86.48559700000001,83.06354883857156,333,-11,5.498361946547362e-5
top1,FALSE,TRUE,1400,MDA,216.86062900000002,223.76684613651628,277,17,1.0920204901889994e-4
top1,FALSE,TRUE,1400,MEX,247.578067,254.48640814922405,-87,19,1.4512059524181173e-4
top1,FALSE,TRUE,1400,MGL,59.792438,59.88234579390507,44,0,2.223652532297562e-4
